SEQNO,Sex,Age,Education,Income
2021221311,0,10,6,7
2021221312,0,6,4,8
2021221313,0,9,6,8
2021221314,1,10,4,8
2021221316,0,6,6,8
2021221317,1,11,6,5
2021221319,0,9,5,3
2021221320,0,12,5,8
2021221321,1,5,5,8
2021221322,1,10,6,7
2021221323,1,12,6,7
2021221324,1,5,6,8
2021221325,0,8,5,6
2021221326,1,9,5,6
2021221327,0,10,5,8
2021221328,0,7,6,8
2021221329,0,12,4,5
2021221330,0,3,5,7
2021221331,1,5,6,5
2021221332,0,3,6,6
2021221334,0,4,4,4
2021221335,0,5,5,4
2021221336,0,6,4,4
2021221337,1,12,4,5
2021221338,1,10,2,2
2021221339,1,5,6,8
2021221340,0,11,6,8
2021221341,0,11,6,4
2021221342,1,10,4,6
2021221343,1,12,4,8
2021221344,0,11,5,4
2021221345,0,11,5,7
2021221346,1,12,5,8
2021221348,1,9,5,6
2021221349,0,3,6,4
2021221350,1,10,6,5
2021221352,0,10,6,8
2021221353,1,11,6,8
2021221354,1,11,5,3
2021221356,1,10,4,7
2021221357,1,5,5,5
2021221358,0,13,4,4
2021221360,1,9,5,8
2021221362,0,3,6,8
2021221364,0,4,6,8
2021221367,1,2,5,7
2021221370,1,5,4,4
2021221371,1,11,5,7
2021221372,0,3,6,6
2021221377,1,9,4,7
2021221379,0,13,4,3
2021221381,1,9,6,8
2021221382,1,9,5,1
2021221386,1,2,6,5
2021221388,0,4,4,1
2021221390,1,1,4,7
2021221394,1,10,6,6
2021221395,0,8,6,4
2021221397,1,6,4,1
2021221398,0,1,4,4
2021221400,1,2,6,8
2021221405,1,7,4,6
2021221406,0,1,6,7
2021221409,0,7,4,7
2021221411,0,4,5,7
2021221412,0,3,5,7
2021221414,1,8,6,8
2021221415,1,7,5,1
2021221417,0,11,6,5
2021221419,0,9,5,7
2021221420,1,2,3,7
2021221421,0,12,5,6
2021221422,1,9,5,6
2021221423,0,9,5,7
2021221424,1,3,4,7
2021221425,0,12,4,4
2021221427,0,8,4,4
2021221428,0,10,4,6
2021221431,0,12,6,7
2021221434,1,7,4,6
2021221436,0,7,2,1
2021221437,1,10,6,7
2021221440,0,7,6,6
2021221441,1,9,6,8
2021221442,0,11,5,1
2021221443,1,10,5,8
2021221444,0,13,4,3
2021221446,0,13,5,5
2021221447,1,13,4,5
2021221448,0,10,5,5
2021221449,1,11,4,3
2021221450,0,4,6,8
2021221451,0,12,3,3
2021221452,0,11,4,4
2021221453,1,1,6,7
2021221454,0,10,6,7
2021221456,1,9,5,4
2021221457,1,10,4,5
2021221458,1,8,4,6
2021221459,0,9,2,3
2021221460,0,10,6,8
2021221462,1,13,3,5
2021221463,0,9,4,7
2021221464,0,7,4,3
2021221465,1,9,3,7
2021221466,1,5,5,6
2021221467,0,6,6,8
2021221468,0,11,6,5
2021221469,1,11,2,2
2021221470,0,5,5,7
2021221471,0,11,4,8
2021221472,0,9,6,2
2021221473,1,9,4,7
2021221474,1,7,6,8
2021221475,0,12,5,6
2021221477,0,11,5,4
2021221479,0,13,6,3
2021221480,1,9,4,8
2021221482,0,11,3,5
2021221483,1,11,6,4
2021221484,0,9,6,8
2021221485,1,4,5,6
2021221486,0,13,6,7
2021221488,1,11,5,8
2021221489,1,8,4,6
2021221490,0,10,4,1
2021221491,0,10,6,6
2021221492,1,9,6,8
2021221493,1,8,6,7
2021221494,0,10,1,2
2021221495,0,9,4,8
2021221496,1,12,4,8
2021221497,1,11,5,7
2021221498,0,13,4,3
2021221500,0,12,6,7
2021221501,0,3,6,6
2021221502,0,12,5,8
2021221503,0,6,6,6
2021221504,1,5,5,6
2021221505,1,9,6,7
2021221506,0,13,4,5
2021221507,1,6,5,3
2021221508,1,8,6,5
2021221509,0,8,3,4
2021221510,1,13,6,4
2021221511,1,8,4,8
2021221513,0,12,5,2
2021221515,1,7,4,6
2021221516,0,11,6,7
2021221518,0,13,6,7
2021221519,1,11,4,4
2021221520,1,9,4,2
2021221521,1,10,4,6
2021221523,1,9,2,1
2021221524,1,11,4,6
2021221525,0,13,4,5
2021221526,0,8,6,7
2021221527,1,11,4,5
2021221528,1,10,6,7
2021221529,0,11,4,6
2021221530,1,12,6,7
2021221531,0,11,4,6
2021221532,1,10,4,6
2021221533,1,8,3,6
2021221534,0,4,5,7
2021221535,0,12,2,3
2021221536,0,12,6,6
2021221537,1,13,5,5
2021221538,1,7,5,8
2021221539,0,9,4,6
2021221540,0,12,3,1
2021221541,0,11,4,6
2021221542,0,13,5,3
2021221545,0,11,4,3
2021221546,1,6,4,3
2021221547,1,10,6,8
2021221548,0,11,6,7
2021221549,1,11,4,6
2021221550,1,11,3,8
2021221551,0,10,3,2
2021221552,0,12,4,5
2021221553,0,9,4,5
2021221554,0,13,3,3
2021221555,1,9,6,8
2021221556,1,12,5,4
2021221557,0,9,4,1
2021221558,0,11,4,6
2021221560,0,8,6,8
2021221561,1,12,6,6
2021221562,0,2,4,7
2021221563,0,12,5,8
2021221564,0,13,4,5
2021221565,0,8,4,3
2021221566,1,5,4,6
2021221567,0,12,6,6
2021221569,0,9,4,4
2021221570,1,7,6,8
2021221571,1,8,4,5
2021221572,1,8,4,6
2021221573,1,8,4,8
2021221574,0,13,4,2
2021221575,0,12,6,7
2021221576,1,7,5,6
2021221577,0,5,4,6
2021221578,0,13,6,7
2021221579,1,11,4,6
2021221580,0,11,4,4
2021221581,1,11,5,5
2021221582,1,13,5,4
2021221584,1,8,4,5
2021221585,1,7,5,7
2021221586,0,9,4,8
2021221587,0,13,5,5
2021221588,0,12,6,5
2021221589,0,13,4,4
2021221590,1,10,6,8
2021221591,0,8,6,6
2021221592,1,4,5,4
2021221595,1,8,6,7
2021221597,0,11,4,6
2021221598,0,6,5,6
2021221599,0,11,4,6
2021221600,1,9,6,4
2021221601,0,9,5,8
2021221602,1,12,6,8
2021221603,0,5,5,4
2021221604,1,9,5,7
2021221605,0,12,4,6
2021221606,0,8,5,4
2021221607,0,6,4,6
2021221608,1,12,3,4
2021221609,0,11,5,4
2021221610,0,8,5,7
2021221611,1,3,5,8
2021221612,0,12,2,1
2021221613,1,10,4,7
2021221614,1,10,4,5
2021221615,1,8,6,3
2021221616,0,2,5,5
2021221617,0,10,5,7
2021221619,1,11,6,5
2021221620,0,11,6,2
2021221621,0,10,5,7
2021221623,0,12,4,6
2021221624,1,11,6,8
2021221625,0,13,6,6
2021221626,1,9,4,7
2021221627,1,7,5,7
2021221628,1,5,6,8
2021221629,0,9,3,8
2021221630,0,12,4,5
2021221631,0,13,6,5
2021221632,1,10,6,8
2021221633,0,10,5,7
2021221634,1,11,4,6
2021221635,0,11,6,6
2021221636,0,9,4,6
2021221637,0,11,5,8
2021221638,1,9,6,7
2021221639,1,10,6,8
2021221640,0,10,5,4
2021221641,1,10,6,7
2021221642,1,12,5,5
2021221643,1,13,3,6
2021221644,1,11,4,6
2021221645,0,13,6,7
2021221647,1,12,6,7
2021221648,1,9,6,7
2021221649,0,12,5,1
2021221650,0,11,5,5
2021221652,1,11,4,7
2021221653,1,13,4,5
2021221654,1,9,5,5
2021221655,0,10,3,5
2021221657,0,11,4,3
2021221658,1,13,4,5
2021221659,1,13,6,4
2021221660,1,7,5,8
2021221661,0,10,4,2
2021221662,0,11,4,7
2021221663,0,9,5,4
2021221664,1,10,4,7
2021221665,0,9,6,8
2021221666,1,11,6,8
2021221667,1,7,5,8
2021221668,1,12,6,7
2021221669,1,11,4,7
2021221670,1,12,3,5
2021221671,0,9,4,4
2021221672,0,11,4,1
2021221673,0,12,5,7
2021221675,0,8,4,6
2021221676,1,11,5,6
2021221677,1,10,4,6
2021221678,0,9,4,7
2021221679,1,11,6,6
2021221680,0,8,5,8
2021221682,0,11,5,6
2021221683,0,11,4,6
2021221685,0,8,4,8
2021221686,0,9,3,3
2021221687,0,12,4,5
2021221688,0,13,6,6
2021221689,0,9,4,8
2021221690,0,8,5,8
2021221691,1,9,4,6
2021221692,0,10,4,6
2021221693,0,9,6,7
2021221694,1,8,4,6
2021221695,1,8,5,8
2021221696,1,13,5,5
2021221698,0,3,4,5
2021221699,0,11,6,6
2021221700,0,5,4,5
2021221701,0,11,5,3
2021221702,0,7,6,5
2021221703,0,11,6,8
2021221704,1,9,6,7
2021221705,1,8,5,7
2021221707,1,10,3,3
2021221708,1,11,3,7
2021221710,1,9,2,3
2021221711,1,11,5,6
2021221712,0,12,6,6
2021221713,0,12,5,7
2021221714,0,3,6,6
2021221715,1,10,4,5
2021221716,1,4,6,8
2021221717,0,12,5,7
2021221718,1,13,6,5
2021221719,0,10,6,8
2021221720,1,10,5,5
2021221723,0,11,5,4
2021221724,0,12,6,4
2021221725,0,11,4,4
2021221726,0,8,6,7
2021221727,1,9,6,8
2021221728,1,13,4,7
2021221730,0,10,5,5
2021221731,0,9,6,5
2021221732,0,13,4,5
2021221733,0,12,5,2
2021221734,0,8,5,4
2021221735,1,2,6,7
2021221736,0,9,5,8
2021221737,0,11,4,5
2021221738,0,9,4,2
2021221739,1,10,3,2
2021221741,0,4,6,7
2021221742,0,11,4,4
2021221743,1,6,4,4
2021221744,0,11,6,7
2021221745,1,13,5,6
2021221746,0,13,4,5
2021221747,1,10,6,8
2021221748,0,9,3,6
2021221749,1,9,4,5
2021221750,0,9,6,7
2021221751,0,9,5,8
2021221753,0,9,5,3
2021221754,0,7,4,8
2021221755,0,11,4,5
2021221756,0,11,4,6
2021221757,1,11,2,7
2021221758,0,10,5,3
2021221759,0,9,4,8
2021221760,1,13,4,5
2021221761,0,10,3,2
2021221763,0,10,6,7
2021221764,1,10,4,8
2021221765,0,10,5,6
2021221766,0,10,5,8
2021221767,0,12,6,6
2021221768,1,11,6,7
2021221769,1,8,5,6
2021221770,0,7,6,8
2021221771,0,11,4,6
2021221772,1,12,6,8
2021221773,1,12,2,3
2021221774,0,9,4,6
2021221775,1,9,4,8
2021221777,1,8,4,5
2021221778,0,5,5,4
2021221779,0,12,4,5
2021221780,0,9,4,4
2021221781,1,9,2,3
2021221782,0,11,5,6
2021221783,1,9,6,6
2021221786,0,12,4,6
2021221787,0,3,4,7
2021221789,1,11,5,3
2021221790,0,7,6,6
2021221791,0,11,4,4
2021221792,1,6,4,7
2021221793,0,12,3,5
2021221794,1,11,4,6
2021221795,0,6,6,7
2021221796,1,7,6,8
2021221797,1,12,6,8
2021221798,1,11,5,5
2021221799,0,11,4,2
2021221800,0,9,5,2
2021221801,0,8,4,1
2021221802,0,10,5,6
2021221804,0,11,3,5
2021221805,1,7,4,3
2021221806,0,8,5,5
2021221807,0,9,2,5
2021221808,1,11,6,5
2021221810,1,7,3,5
2021221812,1,7,4,5
2021221813,0,13,4,5
2021221814,0,12,3,2
2021221815,1,7,4,5
2021221816,0,6,6,5
2021221818,1,10,6,7
2021221819,1,12,5,5
2021221820,0,10,4,5
2021221821,0,9,4,7
2021221822,1,9,6,5
2021221824,0,9,6,8
2021221825,0,8,4,2
2021221826,0,10,5,8
2021221827,0,10,5,7
2021221828,1,9,6,6
2021221829,1,5,5,8
2021221830,0,11,6,7
2021221831,0,8,4,7
2021221833,1,11,6,8
2021221834,0,13,3,2
2021221835,0,12,6,5
2021221837,0,13,4,4
2021221839,1,10,6,6
2021221840,1,12,2,7
2021221841,0,10,6,2
2021221842,0,11,4,6
2021221843,0,10,5,7
2021221844,0,13,6,7
2021221845,0,11,5,6
2021221846,1,12,6,7
2021221847,1,10,6,8
2021221848,0,13,4,6
2021221849,1,5,4,6
2021221851,1,11,5,5
2021221852,0,13,4,7
2021221853,1,8,4,5
2021221854,0,9,5,8
2021221855,0,3,5,6
2021221856,1,10,4,6
2021221859,0,10,6,7
2021221860,1,11,5,7
2021221862,1,7,4,5
2021221863,0,9,5,3
2021221864,0,11,5,7
2021221865,0,8,4,7
2021221868,0,10,5,4
2021221871,1,10,4,3
2021221872,0,9,5,5
2021221873,1,9,3,5
2021221874,0,9,4,7
2021221875,0,9,4,4
2021221876,0,8,5,7
2021221878,0,8,6,8
2021221879,1,4,5,2
2021221880,1,9,3,5
2021221881,0,10,4,6
2021221883,1,8,6,7
2021221884,1,8,3,3
2021221885,1,12,5,6
2021221886,0,7,5,7
2021221888,0,8,3,1
2021221889,0,11,5,4
2021221890,1,7,4,4
2021221891,0,10,5,5
2021221892,1,11,6,6
2021221893,1,13,6,8
2021221894,0,11,4,4
2021221895,0,12,3,1
2021221896,0,5,4,1
2021221897,0,13,4,4
2021221898,1,13,4,8
2021221899,0,11,4,6
2021221900,0,11,5,6
2021221901,0,10,6,5
2021221902,1,11,4,5
2021221903,0,12,4,4
2021221904,0,8,5,7
2021221905,1,12,6,6
2021221906,1,10,4,6
2021221907,1,11,5,4
2021221908,0,11,4,6
2021221910,0,12,3,5
2021221911,0,11,4,6
2021221912,0,4,4,8
2021221913,0,13,5,3
2021221915,1,11,4,4
2021221916,0,7,5,6
2021221917,0,9,5,6
2021221918,1,11,5,8
2021221919,0,5,6,8
2021221920,0,11,4,6
2021221921,0,11,5,8
2021221922,1,13,5,7
2021221923,1,11,5,5
2021221924,0,10,2,4
2021221926,1,4,3,7
2021221927,1,8,4,5
2021221928,0,5,6,5
2021221929,1,8,4,4
2021221930,0,12,4,4
2021221931,1,10,6,5
2021221932,0,13,4,5
2021221933,0,4,4,6
2021221934,0,11,6,6
2021221935,0,9,4,6
2021221936,0,10,5,6
2021221937,0,7,4,6
2021221938,1,13,6,7
2021221939,0,7,4,7
2021221940,0,11,5,6
2021221941,0,7,4,8
2021221942,0,10,4,6
2021221943,1,11,6,8
2021221944,0,13,3,4
2021221945,0,7,5,7
2021221946,1,1,4,7
2021221948,0,13,6,7
2021221950,0,11,4,4
2021221951,0,9,4,6
2021221952,0,11,4,3
2021221953,0,10,6,6
2021221954,1,12,5,4
2021221955,1,10,5,4
2021221956,0,10,6,6
2021221957,0,9,6,7
2021221958,0,12,5,5
2021221961,0,11,5,4
2021221962,0,13,4,3
2021221963,1,12,4,5
2021221964,0,12,4,5
2021221965,1,11,6,8
2021221966,1,7,4,8
2021221967,0,10,4,5
2021221968,1,13,4,3
2021221969,1,11,6,4
2021221970,1,11,6,5
2021221971,1,12,6,4
2021221972,0,8,4,7
2021221973,1,12,6,7
2021221974,0,7,4,6
2021221975,0,8,4,7
2021221977,0,10,5,4
2021221978,1,13,4,5
2021221979,0,13,5,6
2021221980,1,10,5,8
2021221982,0,10,5,8
2021221983,1,9,6,5
2021221984,1,13,6,6
2021221985,0,12,4,5
2021221987,0,12,6,7
2021221988,1,11,5,6
2021221989,1,8,5,7
2021221991,0,4,5,5
2021221992,1,10,4,3
2021221994,0,9,3,5
2021221995,1,12,4,6
2021221996,0,11,4,4
2021221998,0,12,5,6
2021221999,0,6,6,2
2021222000,1,11,4,4
2021222001,0,12,4,5
2021222002,0,13,4,3
2021222003,1,12,6,6
2021222004,0,12,4,5
2021222006,0,10,5,2
2021222007,0,13,4,3
2021222008,1,13,6,5
2021222010,1,10,4,6
2021222011,0,11,4,5
2021222012,1,10,4,6
2021222013,0,11,4,5
2021222014,1,9,6,6
2021222015,1,10,4,7
2021222016,1,3,4,6
2021222018,1,5,5,5
2021222019,0,9,6,6
2021222020,1,9,3,3
2021222021,0,9,4,5
2021222022,0,11,6,2
2021222023,1,13,6,7
2021222024,1,10,4,2
2021222025,0,13,5,4
2021222026,0,8,6,8
2021222027,0,6,4,4
2021222028,0,7,6,8
2021222029,0,9,6,6
2021222030,0,10,4,5
2021222031,0,10,6,7
2021222032,0,9,4,7
2021222033,1,10,4,7
2021222034,1,11,4,5
2021222035,0,10,6,5
2021222036,0,11,4,4
2021222037,1,10,5,8
2021222038,0,12,5,6
2021222039,1,12,4,2
2021222040,1,12,2,3
2021222041,0,11,4,5
2021222042,1,13,5,5
2021222043,0,11,4,2
2021222044,1,9,4,5
2021222045,1,6,2,2
2021222046,1,11,4,6
2021222047,1,8,4,6
2021222048,0,13,5,5
2021222049,0,9,6,6
2021222050,1,11,5,6
2021222052,1,10,6,8
2021222053,0,10,4,2
2021222054,0,13,4,7
2021222055,0,9,4,5
2021222056,0,10,4,5
2021222057,0,9,6,6
2021222058,1,11,5,7
2021222059,0,12,4,7
2021222060,1,13,6,7
2021222062,1,11,5,8
2021222063,1,12,5,7
2021222064,0,5,3,5
2021222065,0,10,4,3
2021222066,1,10,5,3
2021222067,0,4,5,8
2021222068,0,12,5,8
2021222069,0,13,3,6
2021222070,0,10,5,7
2021222071,1,9,4,7
2021222072,0,10,4,6
2021222073,0,12,4,1
2021222074,0,6,5,8
2021222076,0,10,5,4
2021222077,1,10,3,2
2021222078,0,10,4,6
2021222079,1,11,4,3
2021222080,1,6,5,7
2021222081,0,13,6,8
2021222082,0,9,4,8
2021222083,1,11,4,5
2021222084,0,13,6,7
2021222085,0,10,5,8
2021222086,0,10,4,5
2021222087,0,11,4,2
2021222088,0,6,4,6
2021222089,1,12,4,5
2021222090,1,12,4,7
2021222091,1,10,4,4
2021222093,0,5,5,6
2021222094,1,11,4,5
2021222096,0,13,4,4
2021222097,0,11,4,5
2021222098,0,11,3,5
2021222099,0,11,3,3
2021222100,0,11,4,4
2021222102,1,8,6,8
2021222103,1,10,6,6
2021222105,1,13,4,6
2021222106,0,13,5,6
2021222107,0,3,6,8
2021222108,1,12,4,5
2021222109,1,13,4,7
2021222110,0,9,4,5
2021222111,0,11,4,1
2021222112,0,10,6,6
2021222113,0,13,6,8
2021222114,0,11,6,7
2021222115,1,11,4,4
2021222116,0,7,4,5
2021222117,1,10,4,6
2021222118,1,13,6,7
2021222119,0,11,3,2
2021222120,0,9,6,5
2021222121,1,6,6,7
2021222122,0,13,5,2
2021222123,1,10,4,5
2021222124,1,9,5,5
2021222125,1,9,5,7
2021222126,0,6,5,3
2021222127,0,12,5,7
2021222128,1,9,3,6
2021222129,1,9,4,6
2021222130,0,13,4,4
2021222132,0,11,6,8
2021222133,0,12,4,6
2021222134,0,7,5,8
2021222135,1,4,6,6
2021222136,1,10,6,8
2021222137,1,13,5,8
2021222138,0,11,6,6
2021222139,0,7,4,1
2021222141,0,10,5,5
2021222142,0,11,5,6
2021222143,0,13,4,5
2021222144,1,11,5,7
2021222145,0,11,4,4
2021222146,0,5,4,6
2021222149,1,13,5,6
2021222150,1,11,4,5
2021222151,0,10,5,6
2021222152,1,11,4,6
2021222153,1,11,4,6
2021222154,1,9,4,6
2021222155,0,10,6,8
2021222156,0,13,6,6
2021222157,0,11,4,7
2021222158,0,9,5,5
2021222159,1,7,4,6
2021222160,0,9,4,5
2021222161,0,8,4,7
2021222163,1,9,5,6
2021222164,0,7,6,8
2021222165,0,10,2,3
2021222166,0,12,4,5
2021222167,0,5,3,2
2021222168,0,12,4,8
2021222170,0,11,4,6
2021222171,1,7,5,2
2021222172,1,11,6,6
2021222173,1,9,3,4
2021222174,1,10,5,7
2021222175,0,9,6,6
2021222177,0,4,4,6
2021222178,1,11,6,8
2021222179,1,10,4,6
2021222180,0,13,6,6
2021222181,0,13,4,4
2021222182,0,7,4,5
2021222183,0,8,4,6
2021222184,0,5,4,5
2021222185,1,12,4,5
2021222186,1,6,5,2
2021222187,0,13,5,7
2021222188,0,12,5,3
2021222189,0,11,6,8
2021222190,1,11,4,5
2021222191,1,10,6,7
2021222192,0,10,5,6
2021222193,0,9,4,6
2021222194,1,9,5,7
2021222195,0,9,4,2
2021222196,1,13,3,6
2021222198,0,12,6,6
2021222199,0,7,4,6
2021222200,0,9,4,5
2021222201,1,11,4,7
2021222202,0,5,4,6
2021222204,1,11,5,7
2021222205,1,13,4,4
2021222206,1,11,4,7
2021222207,0,11,4,5
2021222208,0,10,5,6
2021222209,0,8,5,6
2021222210,1,9,5,7
2021222211,1,3,6,7
2021222213,0,12,6,5
2021222215,0,11,6,5
2021222216,0,7,6,7
2021222217,0,11,4,6
2021222218,0,10,4,7
2021222219,1,9,4,4
2021222220,0,9,6,7
2021222221,0,10,4,6
2021222223,1,13,4,5
2021222224,1,11,4,7
2021222225,0,13,5,5
2021222226,0,13,5,2
2021222227,1,12,4,5
2021222228,1,3,5,6
2021222229,0,10,2,5
2021222231,1,9,3,4
2021222232,0,13,2,4
2021222233,0,11,5,7
2021222234,0,8,6,8
2021222235,1,8,5,8
2021222236,0,9,4,7
2021222237,0,9,4,3
2021222238,1,5,3,4
2021222239,0,12,5,5
2021222240,0,8,6,6
2021222241,0,9,6,5
2021222242,0,9,4,5
2021222243,1,8,3,3
2021222244,1,9,6,5
2021222245,1,11,4,5
2021222247,0,9,4,4
2021222248,0,8,4,6
2021222249,1,13,5,5
2021222251,1,8,4,7
2021222252,1,12,6,8
2021222253,1,11,4,7
2021222254,0,6,4,1
2021222255,0,7,5,6
2021222256,0,13,6,6
2021222257,0,10,6,5
2021222258,0,12,5,6
2021222259,0,10,5,2
2021222260,0,13,6,6
2021222261,0,9,4,8
2021222262,0,13,4,6
2021222263,0,10,4,2
2021222264,0,10,6,7
2021222265,0,9,4,6
2021222266,0,5,6,7
2021222267,0,10,4,4
2021222268,0,12,6,6
2021222269,1,7,3,1
2021222270,0,10,6,8
2021222271,0,13,4,4
2021222272,0,11,3,3
2021222273,0,12,4,2
2021222274,1,9,6,7
2021222275,0,9,4,2
2021222276,0,10,3,3
2021222277,1,8,4,5
2021222278,1,11,5,6
2021222279,1,10,4,4
2021222280,0,9,6,7
2021222281,1,11,4,6
2021222282,0,13,5,3
2021222283,1,13,3,4
2021222284,0,9,4,5
2021222285,1,11,3,4
2021222286,1,4,5,4
2021222287,0,11,4,5
2021222288,0,10,4,4
2021222290,1,13,4,5
2021222291,1,9,4,2
2021222293,0,8,5,8
2021222294,0,11,6,6
2021222295,0,12,4,6
2021222296,1,13,3,6
2021222297,0,11,4,4
2021222298,0,11,6,8
2021222299,0,12,4,7
2021222300,0,6,4,1
2021222301,0,11,5,7
2021222302,1,12,5,6
2021222303,1,8,3,6
2021222304,1,11,6,8
2021222305,0,6,6,6
2021222306,1,13,4,6
2021222308,1,13,4,4
2021222309,1,7,4,7
2021222310,0,9,2,5
2021222311,0,11,4,6
2021222312,1,9,5,7
2021222313,0,12,6,6
2021222314,0,7,3,3
2021222315,0,11,4,8
2021222318,0,11,6,8
2021222319,0,8,4,7
2021222320,1,8,4,7
2021222321,0,13,6,5
2021222322,0,5,4,8
2021222323,0,10,5,7
2021222325,0,5,6,6
2021222326,0,10,3,6
2021222327,0,6,6,8
2021222328,0,11,6,8
2021222329,1,11,6,6
2021222331,0,10,4,6
2021222332,1,11,6,8
2021222333,0,7,6,4
2021222334,0,10,5,4
2021222335,1,12,6,5
2021222336,0,11,6,3
2021222337,1,11,4,5
2021222338,0,10,4,2
2021222339,1,13,6,7
2021222340,1,11,6,6
2021222341,1,8,4,6
2021222342,1,11,6,6
2021222343,1,9,4,5
2021222344,0,12,4,2
2021222345,0,9,3,6
2021222346,1,9,2,4
2021222347,1,12,6,8
2021222348,1,13,4,5
2021222349,1,10,4,6
2021222350,1,10,4,3
2021222352,1,11,5,7
2021222353,0,6,4,6
2021222354,0,10,4,5
2021222355,1,12,3,8
2021222356,1,6,4,7
2021222357,1,9,4,4
2021222358,1,10,5,6
2021222359,0,10,4,6
2021222361,1,11,5,5
2021222362,1,12,5,6
2021222363,0,8,6,8
2021222364,0,10,4,5
2021222365,0,10,4,4
2021222366,1,10,5,5
2021222367,0,8,5,8
2021222368,0,13,4,4
2021222369,0,7,6,7
2021222370,1,9,5,7
2021222371,0,7,3,2
2021222372,0,10,6,8
